episode,timestep,episode_reward
0,15,15.0
1,43,28.0
2,83,40.0
3,98,15.0
4,120,22.0
5,141,21.0
6,155,14.0
7,188,33.0
8,214,26.0
9,225,11.0
10,242,17.0
11,259,17.0
12,270,11.0
13,280,10.0
14,333,53.0
15,368,35.0
16,411,43.0
17,425,14.0
18,438,13.0
19,454,16.0
20,467,13.0
21,479,12.0
22,491,12.0
23,531,40.0
24,572,41.0
25,583,11.0
26,596,13.0
27,609,13.0
28,620,11.0
29,645,25.0
30,683,38.0
31,760,77.0
32,778,18.0
33,789,11.0
34,818,29.0
35,851,33.0
36,861,10.0
37,901,40.0
38,946,45.0
39,965,19.0
40,984,19.0
41,1027,43.0
42,1044,17.0
43,1074,30.0
44,1097,23.0
45,1153,56.0
46,1191,38.0
47,1209,18.0
48,1218,9.0
49,1239,21.0
50,1266,27.0
51,1283,17.0
52,1310,27.0
53,1331,21.0
54,1346,15.0
55,1357,11.0
56,1368,11.0
57,1391,23.0
58,1444,53.0
59,1470,26.0
60,1492,22.0
61,1505,13.0
62,1540,35.0
63,1560,20.0
64,1587,27.0
65,1630,43.0
66,1650,20.0
67,1672,22.0
68,1707,35.0
69,1726,19.0
70,1736,10.0
71,1749,13.0
72,1780,31.0
73,1814,34.0
74,1876,62.0
75,1889,13.0
76,1899,10.0
77,1919,20.0
78,1945,26.0
79,1956,11.0
80,1967,11.0
81,1992,25.0
82,2040,48.0
83,2060,20.0
84,2080,20.0
85,2108,28.0
86,2144,36.0
87,2169,25.0
88,2211,42.0
89,2242,31.0
90,2260,18.0
91,2278,18.0
92,2294,16.0
93,2305,11.0
94,2322,17.0
95,2351,29.0
96,2366,15.0
97,2386,20.0
98,2400,14.0
99,2437,37.0
100,2454,17.0
101,2472,18.0
102,2491,19.0
103,2503,12.0
104,2534,31.0
105,2546,12.0
106,2570,24.0
107,2598,28.0
108,2623,25.0
109,2637,14.0
110,2652,15.0
111,2685,33.0
112,2709,24.0
113,2727,18.0
114,2765,38.0
115,2777,12.0
116,2792,15.0
117,2802,10.0
118,2818,16.0
119,2834,16.0
120,2851,17.0
121,2865,14.0
122,2889,24.0
123,2908,19.0
124,2945,37.0
125,2964,19.0
126,3000,36.0
127,3013,13.0
128,3025,12.0
129,3078,53.0
130,3092,14.0
131,3125,33.0
132,3143,18.0
133,3152,9.0
134,3180,28.0
135,3225,45.0
136,3250,25.0
137,3275,25.0
138,3290,15.0
139,3313,23.0
140,3332,19.0
141,3362,30.0
142,3391,29.0
143,3413,22.0
144,3483,70.0
145,3492,9.0
146,3536,44.0
147,3587,51.0
148,3614,27.0
149,3623,9.0
150,3649,26.0
151,3661,12.0
152,3675,14.0
153,3697,22.0
154,3709,12.0
155,3733,24.0
156,3749,16.0
157,3765,16.0
158,3797,32.0
159,3812,15.0
160,3826,14.0
161,3853,27.0
162,3883,30.0
163,3917,34.0
164,3933,16.0
165,3985,52.0
166,3999,14.0
167,4042,43.0
168,4092,50.0
169,4118,26.0
170,4137,19.0
171,4168,31.0
172,4212,44.0
173,4244,32.0
174,4281,37.0
175,4348,67.0
176,4383,35.0
177,4395,12.0
178,4413,18.0
179,4435,22.0
180,4457,22.0
181,4490,33.0
182,4505,15.0
183,4543,38.0
184,4559,16.0
185,4626,67.0
186,4642,16.0
187,4659,17.0
188,4690,31.0
189,4726,36.0
190,4736,10.0
191,4752,16.0
192,4808,56.0
193,4841,33.0
194,4871,30.0
195,4887,16.0
196,4936,49.0
197,4952,16.0
198,4991,39.0
199,5086,95.0
200,5097,11.0
201,5136,39.0
202,5190,54.0
203,5208,18.0
204,5257,49.0
205,5269,12.0
206,5289,20.0
207,5330,41.0
208,5342,12.0
209,5359,17.0
210,5430,71.0
211,5449,19.0
212,5470,21.0
213,5493,23.0
214,5512,19.0
215,5548,36.0
216,5578,30.0
217,5598,20.0
218,5636,38.0
219,5655,19.0
220,5675,20.0
221,5750,75.0
222,5822,72.0
223,5900,78.0
224,5926,26.0
225,5951,25.0
226,5968,17.0
227,6046,78.0
228,6108,62.0
229,6162,54.0
230,6214,52.0
231,6251,37.0
232,6277,26.0
233,6314,37.0
234,6342,28.0
235,6375,33.0
236,6394,19.0
237,6412,18.0
238,6489,77.0
239,6542,53.0
240,6584,42.0
241,6632,48.0
242,6663,31.0
243,6717,54.0
244,6761,44.0
245,6782,21.0
246,6841,59.0
247,6856,15.0
248,6871,15.0
249,6932,61.0
250,7010,78.0
251,7023,13.0
252,7047,24.0
253,7073,26.0
254,7090,17.0
255,7124,34.0
256,7170,46.0
257,7231,61.0
258,7272,41.0
259,7346,74.0
260,7421,75.0
261,7454,33.0
262,7471,17.0
263,7489,18.0
264,7508,19.0
265,7523,15.0
266,7539,16.0
267,7558,19.0
268,7575,17.0
269,7591,16.0
270,7611,20.0
271,7641,30.0
272,7661,20.0
273,7700,39.0
274,7762,62.0
275,7820,58.0
276,7865,45.0
277,7882,17.0
278,7904,22.0
279,7919,15.0
280,7947,28.0
281,7969,22.0
282,7992,23.0
283,8037,45.0
284,8066,29.0
285,8088,22.0
286,8104,16.0
287,8127,23.0
288,8160,33.0
289,8203,43.0
290,8332,129.0
291,8350,18.0
292,8396,46.0
293,8418,22.0
294,8429,11.0
295,8452,23.0
296,8538,86.0
297,8595,57.0
298,8623,28.0
299,8643,20.0
300,8705,62.0
301,8766,61.0
302,8785,19.0
303,8819,34.0
304,8865,46.0
305,8901,36.0
306,8957,56.0
307,9044,87.0
308,9115,71.0
309,9145,30.0
310,9181,36.0
311,9208,27.0
312,9273,65.0
313,9352,79.0
314,9378,26.0
315,9480,102.0
316,9672,192.0
317,9719,47.0
318,9858,139.0
319,9903,45.0
320,9925,22.0
321,9956,31.0
322,9968,12.0
323,9981,13.0
324,10024,43.0
325,10058,34.0
326,10114,56.0
327,10158,44.0
328,10180,22.0
329,10203,23.0
330,10236,33.0
331,10374,138.0
332,10443,69.0
333,10521,78.0
334,10569,48.0
335,10588,19.0
336,10627,39.0
337,10665,38.0
338,10702,37.0
339,10740,38.0
340,10816,76.0
341,10847,31.0
342,10882,35.0
343,10957,75.0
344,10981,24.0
345,11011,30.0
346,11046,35.0
347,11134,88.0
348,11177,43.0
349,11199,22.0
350,11278,79.0
351,11325,47.0
352,11344,19.0
353,11361,17.0
354,11449,88.0
355,11469,20.0
356,11501,32.0
357,11575,74.0
358,11604,29.0
359,11626,22.0
360,11685,59.0
